----------------------------------------------------------------------------------------------------------------------------------------------------
| s                                | p                                       | o                                                                   |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:01Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:02Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:03Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:05Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:16Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:17Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:20Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:25Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:26Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:28Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:35Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:36Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:37Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:46Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:47Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:04:48Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:05:07Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:05:08Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:05:09Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:05:10Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:07:49Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:07:50Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:07:58Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:07:59Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:08:06Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:18Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:19Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:20Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:21Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:28Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:44Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:45Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:46Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:51Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:57Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:58Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:09:59Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:03Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:22Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:24Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:25Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:26Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:28Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:29Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:30Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:34Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:38Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:40Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:41Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:42Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:43Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:44Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:45Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:47Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:48Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:49Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:50Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:52Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:10:58Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:11:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
| <http://wikiba.se/ontology#Dump> | <http://schema.org/dateModified>        | "2021-09-24T23:11:11Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> |
----------------------------------------------------------------------------------------------------------------------------------------------------
